subject,total_cases,avg_concentration,avg_exceed_ratio,records,municipality,settlement,OKTMO,location
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001,"Калининградская область, г. Калининград"
Калининградская область,4,32.575,42.33333333333333,4,Город Калининградский,г. Калининград,27701000001,"Калининградская область, г. Калининград"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101,"Новосибирская область, с. Северное"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101,"Новосибирская область, с. Северное"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101,"Новосибирская область, с. Северное"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Новосибирск,г. Новосибирск,50701000001,"Новосибирская область, г. Новосибирск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Здвинский район,с. Здвинск,50613407101,"Новосибирская область, с. Здвинск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Северный район,с. Северное,50644425101,"Новосибирская область, с. Северное"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Кыштовский район,с. Кыштовка,50634431101,"Новосибирская область, с. Кыштовка"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Куйбышевский район,г. Куйбышев,50630101001,"Новосибирская область, г. Куйбышев"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Здвинский район,с. Здвинск,50613407101,"Новосибирская область, с. Здвинск"
Новосибирская область,389,95.59423496143958,12237.577394927535,389,Здвинский район,с. Здвинск,50613407101,"Новосибирская область, с. Здвинск"
