indicator,total,exceeds,exceed_ratio
Марганец,3555,3555,1.0
Цинк,2268,2268,1.0
Аммоний-ион,1792,1792,1.0
Нитрит-ионы,1289,1289,1.0
Медь,1203,1203,1.0
Алюминий,964,964,1.0
Никель,849,849,1.0
Железо общее,786,786,1.0
Ртуть,384,384,1.0
Фенол,300,300,1.0
