id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
34,2008-01-31,80000000000,Республика Башкортостан,р. Обь,Марганец,4,1,30.0,30.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.3
35,2008-01-31,61000000000,Рязанская область,р. Волга,Цинк,3,2,10.0,13.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,13.0
36,2008-01-31,61000000000,Рязанская область,р. Волга,Аммоний-ион,4,2,12.0,13.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,19.5
37,2008-01-31,64000000000,Сахалинская область,"малые реки, озера, водохранилища",Аммоний-ион,4,1,25.0,25.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,37.5
38,2008-01-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,4,11.0,21.0,ПДК,,,,,,,,
39,2008-01-31,65000000000,Свердловская область,р. Кама,Цинк,3,1,11.0,11.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,11.0
40,2008-01-31,65000000000,Свердловская область,р. Кама,Никель,3,1,24.0,24.0,ПДК,Никель,3,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.24
41,2008-01-31,65000000000,Свердловская область,р. Обь,Аммоний-ион,4,3,13.0,18.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,27.0
42,2008-01-31,65000000000,Свердловская область,р. Обь,Медь,3,1,32.0,32.0,ПДК,Медь,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,32.0
43,2008-01-31,65000000000,Свердловская область,р. Обь,Марганец,4,8,33.0,43.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.43
44,2008-01-31,65000000000,Свердловская область,р. Обь,Фосфаты,4э,6,14.0,29.0,ПДК,Фосфаты,4э,0.2,1999-04-28,2010-01-17,Госкомрыболовство-99,true,5.800000000000001
45,2008-01-31,65000000000,Свердловская область,р. Обь,Нитрит-ионы,4э,3,32.0,44.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.88
46,2008-01-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,12,12.0,25.0,ПДК,,,,,,,,
47,2008-01-31,70000000000,Тульская область,р. Волга,Нитрит-ионы,4э,2,12.0,22.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.44
48,2008-01-31,70000000000,Тульская область,р. Дон,Аммоний-ион,4,1,21.0,21.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,31.5
49,2008-01-31,71000000000,Тюменская область,р. Обь,Железо общее,4,1,31.0,31.0,ПДК,Железо общее,4,0.1,1999-04-28,2010-01-17,Госкомрыболовство-99,true,3.1
50,2008-01-31,71000000000,Тюменская область,р. Обь,Растворенный кислород,0,3,2.27,2.92,мг/л,,,,,,,,2.92
51,2008-01-31,75000000000,Челябинская область,р. Обь,Марганец,4,1,42.0,42.0,ПДК,Марганец,4,0.01,1999-04-28,2010-01-17,Госкомрыболовство-99,true,0.42
52,2008-01-31,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,23.0,23.0,ПДК,,,,,,,,
53,2008-01-31,75000000000,Челябинская область,р. Обь,Нитрит-ионы,4э,1,13.0,13.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.26
54,2008-02-29,12000000000,Астраханская область,р. Волга,Ртуть,1,5,3.0,4.0,ПДК,Ртуть,1,5.0E-4,2003-04-30,2021-01-27,СанПиН-2003,true,0.002
55,2008-02-29,14000000000,Белгородская область,р. Днепр,Нитрит-ионы,4э,1,11.3,11.3,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.226
56,2008-02-29,14000000000,Белгородская область,р. Дон,Нитрит-ионы,4э,1,15.0,15.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.3
57,2008-02-29,18000000000,Волгоградская область,р. Волга,Ртуть,1,1,3.0,3.0,ПДК,Ртуть,1,5.0E-4,2003-04-30,2021-01-27,СанПиН-2003,true,0.0015
58,2008-02-29,19000000000,Вологодская область,р. Волга,Аммоний-ион,4,1,11.0,11.0,ПДК,Аммоний-ион,4,1.5,2003-04-30,2021-01-27,СанПиН-2003,true,16.5
59,2008-02-29,19000000000,Вологодская область,р. Волга,Цинк,3,1,14.0,14.0,ПДК,Цинк,3,1.0,2003-04-30,2021-01-27,СанПиН-2003,true,14.0
60,2008-02-29,19000000000,Вологодская область,р. Волга,Нитрит-ионы,4э,1,13.0,13.0,ПДК,Нитрит-ионы,4э,0.02,2016-12-13,2099-12-31,Минсельхоз-2016,false,0.26
