id,period,okato,subject,river_basin,indicator,hazard_class,cnt_cases,value_min,value_max,unit,indicator,pdk_hazard_class,pdk_value,date_start,date_end,ingredient_npa,in_period,concentration_mg_l
252,2008-04-30,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,21.0,21.0,ПДК,,,,,,,,
259,2008-05-31,10000000000,Амурская область,р. Амур,БПК5,0,1,5.0,5.0,ПДК,,,,,,,,
264,2008-05-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,7.0,7.0,ПДК,,,,,,,,
268,2008-05-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,10,13.0,37.0,ПДК,,,,,,,,
273,2008-05-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,23.0,46.0,ПДК,,,,,,,,
275,2008-05-31,44000000000,Магаданская область,"малые реки, озера, водохранилища",Взвешенные вещества,0,1,38.0,38.0,ПДК,,,,,,,,
279,2008-05-31,47000000000,Мурманская область,"малые реки, озера, водохранилища",БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
280,2008-05-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,11,10.0,26.0,ПДК,,,,,,,,
281,2008-05-31,22000000000,Нижегородская область,р. Ока,Взвешенные вещества,0,1,12.0,12.0,ПДК,,,,,,,,
286,2008-05-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,13,10.0,40.0,ПДК,,,,,,,,
287,2008-05-31,57000000000,Пермский край,р. Кама,Взвешенные вещества,0,2,10.0,23.0,ПДК,,,,,,,,
289,2008-05-31,5000000000,Приморский край,р. Амур,БПК5,0,1,7.0,7.0,ПДК,,,,,,,,
290,2008-05-31,5000000000,Приморский край,"малые реки, озера, водохранилища",Взвешенные вещества,0,1,16.0,16.0,ПДК,,,,,,,,
296,2008-05-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,8,11.0,27.0,ПДК,,,,,,,,
297,2008-05-31,65000000000,Свердловская область,р. Обь,БПК5,0,1,17.0,17.0,ПДК,,,,,,,,
299,2008-05-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,31,13.0,59.0,ПДК,,,,,,,,
305,2008-05-31,65000000000,Свердловская область,р. Урал,Взвешенные вещества,0,1,33.0,33.0,ПДК,,,,,,,,
310,2008-05-31,8000000000,Хабаровский край,р. Амур,БПК5,0,1,17.0,17.0,ПДК,,,,,,,,
316,2008-06-30,10000000000,Амурская область,р. Амур,БПК5,0,1,7.0,7.0,ПДК,,,,,,,,
319,2008-06-30,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,15.0,15.0,ПДК,,,,,,,,
321,2008-06-30,19000000000,Вологодская область,р. Северная Двина,БПК5,0,2,7.0,19.0,ПДК,,,,,,,,
326,2008-06-30,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,9,11.0,25.0,ПДК,,,,,,,,
330,2008-06-30,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,5,18.0,47.0,ПДК,,,,,,,,
335,2008-06-30,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,10,11.0,34.0,ПДК,,,,,,,,
339,2008-06-30,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,14,10.0,46.0,ПДК,,,,,,,,
341,2008-06-30,57000000000,Пермский край,р. Кама,Взвешенные вещества,0,1,11.0,11.0,ПДК,,,,,,,,
344,2008-06-30,5000000000,Приморский край,р. Амур,БПК5,0,1,18.0,18.0,ПДК,,,,,,,,
347,2008-06-30,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,11,11.0,39.0,ПДК,,,,,,,,
348,2008-06-30,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,30,10.67,48.53,ПДК,,,,,,,,
352,2008-06-30,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,44.0,44.0,ПДК,,,,,,,,
357,2008-07-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,20.0,20.0,ПДК,,,,,,,,
358,2008-07-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,14.0,14.0,ПДК,,,,,,,,
359,2008-07-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,12,10.0,24.0,ПДК,,,,,,,,
361,2008-07-31,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,14.0,35.0,ПДК,,,,,,,,
369,2008-07-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,16,10.0,48.0,ПДК,,,,,,,,
377,2008-07-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,9,11.0,39.0,ПДК,,,,,,,,
383,2008-07-31,5000000000,Приморский край,р. Амур,БПК5,0,1,16.0,16.0,ПДК,,,,,,,,
384,2008-07-31,88000000000,Республика Марий Эл,р. Волга,Взвешенные вещества,0,1,12.0,12.0,ПДК,,,,,,,,
388,2008-07-31,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,5,15.0,31.0,ПДК,,,,,,,,
392,2008-07-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,30,11.0,49.0,ПДК,,,,,,,,
396,2008-07-31,94000000000,Удмуртская Республика,р. Волга,Взвешенные вещества,0,10,12.0,31.0,ПДК,,,,,,,,
397,2008-07-31,94000000000,Удмуртская Республика,р. Северная Двина,Взвешенные вещества,0,1,31.0,31.0,ПДК,,,,,,,,
399,2008-07-31,75000000000,Челябинская область,р. Обь,Взвешенные вещества,0,1,19.0,19.0,ПДК,,,,,,,,
407,2008-08-31,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,14.0,14.0,ПДК,,,,,,,,
409,2008-08-31,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,6.0,6.0,ПДК,,,,,,,,
412,2008-08-31,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,1,16.0,16.0,ПДК,,,,,,,,
421,2008-08-31,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,12,10.0,32.0,ПДК,,,,,,,,
427,2008-08-31,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,7,10.0,26.0,ПДК,,,,,,,,
433,2008-08-31,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,31,12.0,46.0,ПДК,,,,,,,,
444,2008-09-30,10000000000,Амурская область,р. Амур,БПК5,0,1,7.0,7.0,ПДК,,,,,,,,
447,2008-09-30,19000000000,Вологодская область,р. Северная Двина,БПК5,0,1,7.0,7.0,ПДК,,,,,,,,
449,2008-09-30,19000000000,Вологодская область,р. Северная Двина,ХПК,0,1,12.0,12.0,ПДК,,,,,,,,
452,2008-09-30,33000000000,Кировская область,р. Волга,Взвешенные вещества,0,8,10.0,29.0,ПДК,,,,,,,,
454,2008-09-30,37000000000,Курганская область,р. Обь,Взвешенные вещества,0,2,11.0,20.0,ПДК,,,,,,,,
462,2008-09-30,22000000000,Нижегородская область,р. Волга,Взвешенные вещества,0,8,11.0,30.0,ПДК,,,,,,,,
466,2008-09-30,57000000000,Пермский край,р. Волга,Взвешенные вещества,0,2,11.0,11.0,ПДК,,,,,,,,
469,2008-09-30,57000000000,Пермский край,р. Кама,Взвешенные вещества,0,1,13.0,13.0,ПДК,,,,,,,,
473,2008-09-30,65000000000,Свердловская область,р. Волга,Взвешенные вещества,0,2,10.0,12.0,ПДК,,,,,,,,
475,2008-09-30,65000000000,Свердловская область,р. Обь,Взвешенные вещества,0,23,10.0,43.0,ПДК,,,,,,,,
481,2008-09-30,71000000000,Тюменская область,"малые реки, озера, водохранилища",ХПК,0,1,11.0,11.0,ПДК,,,,,,,,
484,2008-09-30,8000000000,Хабаровский край,р. Амур,БПК5,0,1,14.0,14.0,ПДК,,,,,,,,
