"ingredient";"ingredient_npa";"hazard_class";"value";"lpv";"formula";"n_cas";"npa";"date_start";"date_end"
Кадмий;Кадмий (Cd, суммарно);"2";0.001;сан-токс;Cd;NaN;СанПиН-2021;2021-01-28;2099-12-31
Кадмий;Кадмий;"2";0.005;токс;Cd;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Кадмий;Кадмий;"2";0.001;сан-токс;Cd;"7440-43-9";СанПиН-2003;2003-04-30;2021-01-27
Кадмий;Кадмий;"2";0.005;токс;Cd;"7440-43-9";Минсельхоз-2016;2016-12-13;2099-12-31
Кобальт;Кобальт;"3";0.01;токс;Co;"7440-48-4";Росрыболовство-2010;2010-01-18;2099-12-31
Кобальт;Кобальт;"2";0.1;сан-токс;Co;"7440-48-4";СанПиН-2003;2003-04-30;2021-01-27
Кобальт;Кобальт;"3";0.01;токс;Co;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Кобальт;Кобальт (Co, суммарно);"2";0.1;сан-токс;Co;NaN;СанПиН-2021;2021-01-28;2099-12-31
Кобальт;Кобальт;"3";0.01;токс;Co;"7440-48-4";Минсельхоз-2016;2016-12-13;2099-12-31
Ксантогенат бутиловый;О-Бутилдитиокарбонат;"4";0.001;орг. зап.;C5H6OS2;NaN;СанПиН-2003;2003-04-30;2021-01-27
Ксантогенат бутиловый;"O-Бутилдитиокарбонат (O-бутиловый эфир дитиоугольной кислоты; бутилксантогенат)";"4";0.001;орг. зап.;C5H10OS2;"110-50-9";СанПиН-2021;2021-01-28;2099-12-31
Лигнин сульфатный;Лигнин сульфатный лиственный, лигнин сульфатный хвойный;"4";5;орг. окр.;NaN;NaN;СанПиН-2021;2021-01-28;2099-12-31
Лигнин сульфатный;Лигнин сульфатный;"3";2.0;токс;NaN;"8062-15-5";Минсельхоз-2016;2016-12-13;2099-12-31
Лигнин сульфатный;Лигнин сульфатный;"3";2.0;токс;NaN;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Лигнин сульфатный;Лигнин сульфатный лиственный, лигнин сульфатный хвойный;"4";5;орг. окр.;NaN;NaN;СанПиН-2003;2003-04-30;2021-01-27
Лигносульфонаты;Лигносульфонаты натрия и кальция;"4";2;токс;NaN;NaN;Росрыболовство-2010;2010-01-18;2099-12-31
Лигносульфонаты;Лигносульфонаты натрия и кальция;"4";2;токс;NaN;NaN;Минсельхоз-2016;2016-12-13;2099-12-31
Лигносульфонаты;Лигносульфонат магния, лигносульфонат натрия;"3";2;токс;NaN;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Магний;Магний;"4";40.0;сан-токс;Mg;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Магний;Магний (Mg, суммарно);"3";50;орг. привк.;Mg;NaN;СанПиН-2021;2021-01-28;2099-12-31
Магний;Магний;"4";40.0;сан-токс;Mg;"7439-95-4";Минсельхоз-2016;2016-12-13;2099-12-31
Магний;Магний;"4";40.0;сан-токс;Mg;"7439-95-4";Росрыболовство-2010;2010-01-18;2099-12-31
Магний;Магний;"3";50;орг. привк.;Mg;"7439-95-4";СанПиН-2003;2003-04-30;2021-01-27
Марганец;Марганец двухвалентный;"4";0.01;сан-токс;Mn2+;"7439-96-5";Минсельхоз-2016;2016-12-13;2099-12-31
Марганец;Марганец двухвалентный;"4";0.01;сан-токс;Mn2+;"7439-96-5";Росрыболовство-2010;2010-01-18;2099-12-31
Марганец;Марганец;"3";0.1;орг. окр.;Mn;"7439-96-5";СанПиН-2003;2003-04-30;2021-01-27
Марганец;Марганец двухвалентный;"4";0.01;сан-токс;Mn2+;NaN;Госкомрыболовство-99;1999-04-28;2010-01-17
Марганец;Марганец (Mn, суммарно);"3";0.1;орг. окр.;Mn;NaN;СанПиН-2021;2021-01-28;2099-12-31
Медь;Медь;"3";0.001;токс;Сu;"7440-50-8";Росрыболовство-2010;2010-01-18;2099-12-31
Медь;Медь;"3";1.0;сан-токс;Cu;"7440-50-8";СанПиН-2003;2003-04-30;2021-01-27
