"id";"period";"okato";"subject";"river_basin";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
60;2008-02-29;"19000000000";Вологодская область;р. Волга;Нитрит-ионы;"4э";"1";13;13;ПДК
61;2008-02-29;"19000000000";Вологодская область;р. Северная Двина;Фенол;"3";"1";32;32;ПДК
62;2008-02-29;"19000000000";Вологодская область;р. Северная Двина;Растворенный кислород;"";"3";2.57;2.91;мг/л
63;2008-02-29;"19000000000";Вологодская область;р. Северная Двина;БПК5;"";"1";12;12;ПДК
64;2008-02-29;"19000000000";Вологодская область;р. Северная Двина;ХПК;"";"1";25;25;ПДК
65;2008-02-29;"76000000000";Забайкальский край;р. Амур;Нитрит-ионы;"4э";"1";12;12;ПДК
66;2008-02-29;"32000000000";Кемеровская область - Кузбасс;р. Обь;Цинк;"3";"2";25;37;ПДК
67;2008-02-29;"04000000000";Красноярский край;р. Енисей;Нитрит-ионы;"4э";"1";12;12;ПДК
68;2008-02-29;"04000000000";Красноярский край;р. Обь;Железо общее;"4";"1";30;30;ПДК
69;2008-02-29;"46000000000";Московская область;р. Волга;Аммоний-ион;"4";"5";11;15;ПДК
70;2008-02-29;"46000000000";Московская область;р. Волга;Нитрит-ионы;"4э";"4";11;16;ПДК
71;2008-02-29;"47000000000";Мурманская область;малые реки, озера, водохранилища;Аммоний-ион;"4";"1";12;12;ПДК
72;2008-02-29;"47000000000";Мурманская область;малые реки, озера, водохранилища;Никель;"3";"1";22;22;ПДК
73;2008-02-29;"22000000000";Нижегородская область;р. Волга;Сульфаты;"4";"1";12;12;ПДК
74;2008-02-29;"22000000000";Нижегородская область;р. Волга;Взвешенные вещества;"";"2";10;18;ПДК
75;2008-02-29;"52000000000";Омская область;р. Обь;Марганец;"4";"1";48;48;ПДК
76;2008-02-29;"53000000000";Оренбургская область;р. Урал;Цинк;"3";"1";17;17;ПДК
77;2008-02-29;"57000000000";Пермский край;р. Волга;Взвешенные вещества;"";"3";26;50;ПДК
78;2008-02-29;"57000000000";Пермский край;р. Волга;Железо общее;"4";"1";41;41;ПДК
79;2008-02-29;"57000000000";Пермский край;р. Волга;Марганец;"4";"1";42;42;ПДК
80;2008-02-29;"57000000000";Пермский край;р. Кама;Никель;"3";"1";18;18;ПДК
81;2008-02-29;"05000000000";Приморский край;р. Амур;Железо общее;"4";"2";36;43;ПДК
82;2008-02-29;"05000000000";Приморский край;р. Амур;Аммоний-ион;"4";"1";14;14;ПДК
83;2008-02-29;"05000000000";Приморский край;р. Амур;Марганец;"4";"3";46;49;ПДК
84;2008-02-29;"05000000000";Приморский край;р. Амур;БПК5;"";"3";6;19;ПДК
