water_body,total_cases,avg_concentration,avg_exceed_ratio,records
р. Быстрый Танып,4,79.75,0.0,4
р. Кама,15,99.93333333333334,0.0,15
р. Вирма,4,80.75,6815.0,4
р. Ижора,1,2.0,0.0,1
оз. Глухое,1,26.0,32500.0,1
р. Черная Речка,2,34.5,5050.0,2
р. Кунара,8,64.75,5525.0,8
р. Тальтия,7,107.85714285714286,39966.66666666667,7
р. Бурец (приток р. Вятка),1,132.0,88.0,1
р. Шелонь,5,56.8,4567.466666666666,5
р. Сита,2,38.5,43450.0,2
р. Тесьма,1,100.0,0.0,1
р. Усмань,1,0.5,0.0,1
вдхр. Троицкое,1,65.0,6500.0,1
р. Тавда,73,57.34342465753424,8435.29411764706,73
вдхр. Белоярское (р. Пышма),1,71.0,0.0,1
р. Пыж,1,50.0,0.0,1
р. Аргунь,48,54.65354166666666,13879.545454545454,48
вдхр. Камское (р. Кама),1,71.0,710.0,1
оз. Ик,4,79.0,7900.0,4
р. Шилка,5,67.0,14850.0,5
р. Чара,1,56.0,56000.0,1
р. Каменка,21,99.85749523809524,9222.507399999999,21
вдхр. Воткинское,6,170.5,0.0,6
р. Стремутка,10,123.69000000000001,156.0,10
р. Пышма,209,81.97913875598086,7897.105263157895,209
вдхр. Камское,5,103.74000000000001,5600.0,5
р. Уй,29,82.75862068965517,8850.0,29
р. Славянка,1,1.8,0.0,1
р. Ададым,2,57.0,5700.0,2
оз. Мончеозеро,3,16.0,38000.0,3
вдхр. Магнитогорское (река Урал),1,55.0,5500.0,1
вдхр. Иваньковское,5,84.97999999999999,10600.0,5
р. Тумнин,1,51.0,5100.0,1
р. Печенга,5,56.0,0.0,5
р. Айва,214,80.82383177570092,40985.71428571428,214
вдхр. Белоярское,8,155.625,0.0,8
пруд,1,185.0,123.33333333333333,1
руч. Надеждинский (приток р. Долдыкан),5,88.6,59425.0,5
р. Шолда,10,37.699999999999996,44.22222222222222,10
р. Амня,1,50.0,5000.0,1
вдхр. Новосибирское,9,75.55555555555556,27716.666666666668,9
р. Чагра,3,73.66666666666667,7366.666666666667,3
р. Петрушиха,1,71.0,7100.0,1
р. Малая Нева,1,6.0,6000.0,1
р. Каква,3,139.0,0.0,3
р. Остречина,6,74.33333333333333,7433.333333333333,6
р. Ук,33,72.87878787878788,7287.878787878788,33
руч. Южный,6,59.166666666666664,33216.666666666664,6
р. Унда,1,14.0,0.0,1
р. Артынка,18,89.62777777777778,13976.470588235294,18
р. Томь,9,87.22222222222223,8722.222222222223,9
р. Ревда,2,86.0,11600.0,2
р. Сороть,1,1.9,0.0,1
руч. Безымянный (приток р. Черная),8,42.125,36162.5,8
р. Молога,10,70.1,7010.0,10
р. Чегдомын,2,67.0,67000.0,2
вдхр. Колымское (р. Колыма),3,5.333333333333333,888.888888888889,3
р. Камчатка,7,37.9,4019.2666666666664,7
р. Вихорева,5,70.80098000000001,0.049,5
р. Крымза,1,66.0,6600.0,1
р. Левая Силинка,41,66.34146341463415,18290.243902439026,41
р. Падовка,14,81.61714285714285,3761.8148148148152,14
пр. Городецкий Шар,15,69.6,6411.111111111111,15
р. Колос-Йоки,86,55.66279069767442,9402.631578947368,86
