indicator,year,month,avg_concentration
Бенз(а)пирен,2020,9,17.666666666666668
Бенз(а)пирен,2020,10,21.0
Бенз(а)пирен,2020,11,6.0
Бенз(а)пирен,2020,12,7.0
Бенз(а)пирен,2021,1,5.0
Бенз(а)пирен,2021,2,25.0
Бенз(а)пирен,2021,3,10.0
Бенз(а)пирен,2021,4,8.25
Бенз(а)пирен,2021,5,7.0
Бенз(а)пирен,2021,6,9.666666666666666
Бенз(а)пирен,2021,7,6.5
Бензол,2020,10,62.0
Бериллий,2019,6,6.0
Ванадий,2014,8,60.5
Ванадий,2014,11,72.33333333333333
Взвешенные вещества,2008,1,110.0
Взвешенные вещества,2008,2,163.0
Взвешенные вещества,2008,4,137.44444444444446
Взвешенные вещества,2008,5,134.79166666666666
Взвешенные вещества,2008,6,87.28571428571429
Взвешенные вещества,2008,7,78.07142857142857
Взвешенные вещества,2008,8,95.5
Взвешенные вещества,2008,9,202.0
Взвешенные вещества,2008,11,100.0
Взвешенные вещества,2008,12,155.66666666666666
Взвешенные вещества,2009,1,101.66666666666667
Взвешенные вещества,2009,2,87.16666666666667
Взвешенные вещества,2009,3,93.0
Взвешенные вещества,2009,4,106.5
Взвешенные вещества,2009,5,75.0
Взвешенные вещества,2009,6,115.0
Взвешенные вещества,2009,7,79.66090909090909
Взвешенные вещества,2009,8,96.16666666666667
Взвешенные вещества,2009,9,54.0
Взвешенные вещества,2009,10,174.2
Взвешенные вещества,2009,11,149.42857142857142
Взвешенные вещества,2009,12,128.5
Взвешенные вещества,2010,2,76.5
Взвешенные вещества,2010,3,121.5
Взвешенные вещества,2010,4,137.86666666666667
Взвешенные вещества,2010,5,132.71428571428572
Взвешенные вещества,2010,6,90.6
Взвешенные вещества,2010,7,88.83714285714287
Взвешенные вещества,2010,8,86.4
Взвешенные вещества,2010,9,64.0
Взвешенные вещества,2010,10,101.33333333333333
Взвешенные вещества,2010,11,141.16666666666666
Взвешенные вещества,2010,12,61.5
Взвешенные вещества,2011,1,155.0
Взвешенные вещества,2011,2,58.0
Взвешенные вещества,2011,3,199.0
Взвешенные вещества,2011,4,109.85714285714286
Взвешенные вещества,2011,5,79.85714285714286
Взвешенные вещества,2011,6,121.5
Взвешенные вещества,2011,7,67.33333333333333
Взвешенные вещества,2011,8,68.0
Взвешенные вещества,2011,9,257.5
Взвешенные вещества,2011,10,109.66666666666667
Взвешенные вещества,2011,11,113.5
Взвешенные вещества,2011,12,122.0
Взвешенные вещества,2012,1,113.0
Взвешенные вещества,2012,2,132.0
Взвешенные вещества,2012,3,115.0
Взвешенные вещества,2012,4,127.08333333333333
Взвешенные вещества,2012,5,89.71428571428571
Взвешенные вещества,2012,6,69.83333333333333
Взвешенные вещества,2012,7,73.71428571428571
Взвешенные вещества,2012,8,68.16666666666667
Взвешенные вещества,2012,10,103.71428571428571
Взвешенные вещества,2012,11,58.5
Взвешенные вещества,2012,12,72.66666666666667
Взвешенные вещества,2013,1,92.0
Взвешенные вещества,2013,2,116.5
Взвешенные вещества,2013,4,103.31818181818181
Взвешенные вещества,2013,5,94.9
Взвешенные вещества,2013,6,129.11111111111111
Взвешенные вещества,2013,7,80.1
Взвешенные вещества,2013,8,74.2
Взвешенные вещества,2013,9,72.8
Взвешенные вещества,2013,10,84.55555555555556
Взвешенные вещества,2013,11,97.5
Взвешенные вещества,2013,12,78.5
Взвешенные вещества,2014,1,97.5
Взвешенные вещества,2014,2,61.5
Взвешенные вещества,2014,3,123.0
Взвешенные вещества,2014,4,119.11111111111111
Взвешенные вещества,2014,5,124.05882352941177
Взвешенные вещества,2014,6,89.76
Взвешенные вещества,2014,7,141.23809523809524
Взвешенные вещества,2014,8,61.125
Взвешенные вещества,2014,9,52.0
Взвешенные вещества,2014,10,296.0
Взвешенные вещества,2014,11,91.375
Взвешенные вещества,2014,12,128.4
Взвешенные вещества,2015,1,66.6
Взвешенные вещества,2015,2,85.5
Взвешенные вещества,2015,3,62.8
Взвешенные вещества,2015,4,92.45
Взвешенные вещества,2015,5,74.07142857142857
Взвешенные вещества,2015,6,288.42857142857144
Взвешенные вещества,2015,7,68.46666666666667
Взвешенные вещества,2015,8,124.9
Взвешенные вещества,2015,9,148.4
Взвешенные вещества,2015,10,77.5
Взвешенные вещества,2015,11,3489.4
Взвешенные вещества,2015,12,64.0
Взвешенные вещества,2016,1,148.0
Взвешенные вещества,2016,2,76.8
Взвешенные вещества,2016,3,78.0
Взвешенные вещества,2016,4,95.80952380952381
Взвешенные вещества,2016,5,70.28571428571429
Взвешенные вещества,2016,6,169.0
Взвешенные вещества,2016,7,63.0
Взвешенные вещества,2016,8,99.57692307692308
Взвешенные вещества,2016,9,82.66666666666667
Взвешенные вещества,2016,10,77.0
Взвешенные вещества,2016,11,52.0
Взвешенные вещества,2016,12,117.0
Взвешенные вещества,2017,1,66.0
Взвешенные вещества,2017,2,58.0
Взвешенные вещества,2017,3,80.75
Взвешенные вещества,2017,4,76.66666666666667
Взвешенные вещества,2017,5,100.47368421052632
Взвешенные вещества,2017,6,103.85714285714286
Взвешенные вещества,2017,7,90.71428571428571
Взвешенные вещества,2017,8,115.63636363636364
Взвешенные вещества,2017,9,60.0
Взвешенные вещества,2017,10,208.6
Взвешенные вещества,2017,11,136.0
Взвешенные вещества,2017,12,99.5
Взвешенные вещества,2018,1,101.8
Взвешенные вещества,2018,2,99.0
Взвешенные вещества,2018,3,115.0
Взвешенные вещества,2018,4,80.77777777777777
Взвешенные вещества,2018,5,93.375
Взвешенные вещества,2018,6,65.38888888888889
Взвешенные вещества,2018,7,72.0
Взвешенные вещества,2018,8,62.833333333333336
Взвешенные вещества,2018,9,58.5
Взвешенные вещества,2018,10,4062.8333333333335
Взвешенные вещества,2018,11,85.0
Взвешенные вещества,2018,12,86.0
Взвешенные вещества,2019,1,73.0
Взвешенные вещества,2019,3,98.66666666666667
Взвешенные вещества,2019,4,75.0
Взвешенные вещества,2019,5,85.64285714285714
Взвешенные вещества,2019,6,60.8
Взвешенные вещества,2019,7,70.33333333333333
Взвешенные вещества,2019,8,53.0
Взвешенные вещества,2019,9,56.5
Взвешенные вещества,2019,10,133.0
Взвешенные вещества,2019,11,746.5
Взвешенные вещества,2019,12,62.5
Взвешенные вещества,2020,2,59.0
Взвешенные вещества,2020,4,59.8
Взвешенные вещества,2020,5,128.83333333333334
Взвешенные вещества,2020,6,526.6666666666666
Взвешенные вещества,2020,7,75.0909090909091
Взвешенные вещества,2020,8,77.75
Взвешенные вещества,2020,9,107.0
Взвешенные вещества,2020,10,62.18181818181818
Взвешенные вещества,2020,11,67.0
Взвешенные вещества,2020,12,60.0
Взвешенные вещества,2021,4,121.91666666666667
Взвешенные вещества,2021,5,58.0
Взвешенные вещества,2021,6,91.0
Водородный показатель (pH),2008,1,9.9
Водородный показатель (pH),2008,6,9.8
Водородный показатель (pH),2009,2,10.35
Водородный показатель (pH),2010,1,9.95
Водородный показатель (pH),2010,2,10.0
Водородный показатель (pH),2010,3,10.1
Водородный показатель (pH),2010,4,9.9
Водородный показатель (pH),2010,5,3.6
Водородный показатель (pH),2011,2,10.0
Водородный показатель (pH),2011,3,9.9
Водородный показатель (pH),2012,4,9.87
Водородный показатель (pH),2013,1,9.8
Водородный показатель (pH),2013,2,10.3
Водородный показатель (pH),2013,3,9.79
Водородный показатель (pH),2014,2,9.97
Водородный показатель (pH),2014,3,10.1
Водородный показатель (pH),2014,4,10.14
Водородный показатель (pH),2015,1,9.9
Водородный показатель (pH),2015,2,10.1
Водородный показатель (pH),2015,3,10.2
Водородный показатель (pH),2015,4,9.8
Водородный показатель (pH),2015,5,10.1
Водородный показатель (pH),2016,3,10.2
Водородный показатель (pH),2016,8,10.9
Водородный показатель (pH),2017,1,9.8
Водородный показатель (pH),2017,2,9.8
Водородный показатель (pH),2017,4,9.8
Водородный показатель (pH),2018,3,9.9
Водородный показатель (pH),2018,4,9.8
Водородный показатель (pH),2021,8,9.746666666666668
Вольфрам,2019,1,26.0
ГХЦГ,2008,4,4.0
ГХЦГ,2008,5,7.0
ГХЦГ,2008,6,7.333333333333333
ГХЦГ,2008,7,11.0
ГХЦГ,2008,8,11.0
